Name,Fuel
AG_DIMITRIOS1,Lignite
AG_DIMITRIOS2,Lignite
AG_DIMITRIOS3,Lignite
AG_DIMITRIOS4,Lignite
AG_DIMITRIOS5,Lignite
AMYNDEO1,Lignite
AMYNDEO2,Lignite
MELITI,Lignite
KARDIA1,Lignite
KARDIA2,Lignite
KARDIA3,Lignite
KARDIA4,Lignite
PTOLEMAIDA1,Lignite
PTOLEMAIDA2,Lignite
PTOLEMAIDA3,Lignite
PTOLEMAIDA4,Lignite
LIPTOL2,Lignite
MEGALOPOLI1,Lignite
MEGALOPOLI2,Lignite
MEGALOPOLI3,Lignite
MEGALOPOLI4,Lignite
LAVRIO1,FO
LAVRIO2,FO
ALIVERI3,FO
ALIVERI4,FO
ALIVERI5,NG
AG_GEORGIOS8,NG
AG_GEORGIOS9,NG
KOMOTINI,NG
LAVRIO3,NG
LAVRIO4,NG
LAVRIO5,NG
ELPEDISON_THESS,NG
ELPEDISON_THISVI,NG
HERON_CC,NG
PROTERGIA_CC,NG
ALOUMINIO,NG
HERON,NG
KORINTHOS_POWER,NG
KREMASTA,Hydro
KASTRAKI,Hydro
STRATOS1,Hydro
STRATOS2,Hydro
ILARIONAS,Hydro
POLYFYTO,Hydro
SFIKIA,Hydro
ASOMATA,Hydro
MAKROCHORI,Hydro
THESAVROS,Hydro
PLATANOVRYSI,Hydro
POURNARI1,Hydro
POURNARI2,Hydro
P_AOOU,Hydro
LADONAS,Hydro
PLASTIRAS,Hydro
GIONA,Hydro
LOUROS,Hydro
EDESSAIOS,Hydro
AGRAS,Hydro
ENTHESS,NG

